material_id,pretty_formula,unit_cell_formula,formation_energy_per_atom,crystal_system,spacegroup.symbol,nsites,volume,density,band_gap,e_above_hull
mp-1177345,Li4MnNi3O8,"{'Li': 4.0, 'Mn': 1.0, 'Ni': 3.0, 'O': 8.0}",-1.648340266705115,trigonal,R-3m,16,141.3790271163432,4.5428170684305735,0.0,0.008385815542760966
mp-775319,Li2Mn3NiO8,"{'Li': 2.0, 'Mn': 3.0, 'Ni': 1.0, 'O': 8.0}",-1.8584983603699174,trigonal,R3m,14,142.4183448996661,4.260235064761034,0.7826999999999997,0.07677838946428661
mp-753347,Li2MnNiO4,"{'Li': 4.0, 'Mn': 2.0, 'Ni': 2.0, 'O': 8.0}",-1.8709703973685636,orthorhombic,Imma,16,143.51547375910545,4.431739150883221,0.25570000000000004,0.03084247812499541
mp-755150,LiMn3(NiO4)2,"{'Li': 1.0, 'Mn': 3.0, 'Ni': 2.0, 'O': 8.0}",-1.699157485608012,orthorhombic,Imm2,14,147.40453559554157,4.699126156454909,0.0,0.058753233852692155
mp-758663,Li4Mn(Ni2O5)2,"{'Li': 8.0, 'Mn': 2.0, 'Ni': 8.0, 'O': 20.0}",-1.353546404462202,triclinic,P-1,38,345.70007333425025,4.5869645961662044,0.0,0.1585588571364278
mp-752530,Li2MnNi3O8,"{'Li': 2.0, 'Mn': 1.0, 'Ni': 3.0, 'O': 8.0}",-1.3394100381391791,monoclinic,C2/m,14,138.39430787464318,4.474226315294458,0.13850000000000007,0.05510505089285811
mp-755837,Li5Mn3(NiO5)2,"{'Li': 5.0, 'Mn': 3.0, 'Ni': 2.0, 'O': 10.0}",-1.8806197868839427,triclinic,P-1,20,184.51007404811187,4.291966045821466,0.4660000000000002,0.07499200924999894
mp-756534,Li4Mn5Ni3O16,"{'Li': 4.0, 'Mn': 5.0, 'Ni': 3.0, 'O': 16.0}",-1.7397135607050913,monoclinic,Cm,28,271.64859844458476,4.490018259927977,0.0,0.06037277392857465
mp-757987,Li3Mn3NiO8,"{'Li': 3.0, 'Mn': 3.0, 'Ni': 1.0, 'O': 8.0}",-1.9324777727897016,triclinic,P-1,15,145.82586895452906,4.239723945419061,0.3934000000000002,0.2199961315208281
mp-760206,Li4Mn3NiO8,"{'Li': 4.0, 'Mn': 3.0, 'Ni': 1.0, 'O': 8.0}",-2.0101661099070114,monoclinic,C2/m,16,147.3507667274218,4.274068225884072,0.21079999999999988,0.02614406718749418
mp-554979,Li2Mn2NiO6,"{'Li': 4.0, 'Mn': 4.0, 'Ni': 2.0, 'O': 12.0}",-1.8537660729148797,orthorhombic,Cmce,22,227.37755486986413,4.067011800016687,1.4056,0.06934199534090979
mp-1177919,Li2Mn3NiO8,"{'Li': 8.0, 'Mn': 12.0, 'Ni': 4.0, 'O': 32.0}",-1.887035875369918,monoclinic,P2_1,56,570.8869016657854,4.251179174273575,1.6272000000000002,0.04824087446428571
mp-25284,LiMn2NiO6,"{'Li': 2.0, 'Mn': 4.0, 'Ni': 2.0, 'O': 12.0}",-1.675587148039701,monoclinic,C2/c,20,227.72263392680364,3.959622194085317,1.3384,0.06804268506250022
mp-758690,Li4Mn2Ni3O10,"{'Li': 4.0, 'Mn': 2.0, 'Ni': 3.0, 'O': 10.0}",-1.616581870020896,triclinic,P-1,19,175.42211155706863,4.484161534538232,0.0,0.07494160940789207
mp-756193,Li2MnNi3O8,"{'Li': 2.0, 'Mn': 1.0, 'Ni': 3.0, 'O': 8.0}",-1.3693606231391797,trigonal,R-3m,14,136.7244301500097,4.528872078679112,0.0,0.025154465892857303
mp-774245,Li5Mn5(NiO6)2,"{'Li': 5.0, 'Mn': 5.0, 'Ni': 2.0, 'O': 12.0}",-1.9539693733920498,monoclinic,C2,24,225.10167723621961,4.564602907257902,0.4973000000000005,0.027935276875004966
mp-759369,Li6MnNi7O16,"{'Li': 12.0, 'Mn': 2.0, 'Ni': 14.0, 'O': 32.0}",-1.1704837228538385,triclinic,P1,60,548.0705039820975,4.626056013442331,0.016500000000000625,0.23769950837281417
mp-769460,Li9Mn12Ni3O32,"{'Li': 9.0, 'Mn': 12.0, 'Ni': 3.0, 'O': 32.0}",-1.9598772653103933,monoclinic,C2,56,568.8929779112648,4.115019372944326,0.16310000000000002,0.0
mp-771232,Li5Mn2Ni5O12,"{'Li': 5.0, 'Mn': 2.0, 'Ni': 5.0, 'O': 12.0}",-1.6501521841484863,monoclinic,C2,24,210.38408384963134,4.972845341989812,0.0,0.025894699035088564
mp-769631,Li2Mn3NiO8,"{'Li': 2.0, 'Mn': 3.0, 'Ni': 1.0, 'O': 8.0}",-1.923510178941346,trigonal,R-3m,14,142.95781811282734,4.244158415511988,0.5467,0.011766570892857153
mp-758650,Li6MnNi7O16,"{'Li': 12.0, 'Mn': 2.0, 'Ni': 14.0, 'O': 32.0}",-1.2125956968538398,triclinic,P-1,60,551.9983491959662,4.593138465775831,0.0,0.1955875343728124
mp-1176793,Li9Mn12Ni3O32,"{'Li': 9.0, 'Mn': 12.0, 'Ni': 3.0, 'O': 32.0}",-1.9594463429889655,trigonal,R32,56,569.81106295176,4.1083892143298595,0.0,0.00043092232134878117
mp-867526,Li3Mn(NiO3)2,"{'Li': 6.0, 'Mn': 2.0, 'Ni': 4.0, 'O': 12.0}",-1.6596477706762645,monoclinic,C2/c,24,221.9322165176436,4.326864501593358,0.0,0.03806856307017359
mp-771196,Li8Mn12Ni4O31,"{'Li': 8.0, 'Mn': 12.0, 'Ni': 4.0, 'O': 31.0}",-1.9204502294448265,triclinic,P1,55,573.333492705384,4.186699205654922,0.8603000000000001,0.01941761135228326
mp-771310,Li3MnNi3O8,"{'Li': 3.0, 'Mn': 1.0, 'Ni': 3.0, 'O': 8.0}",-1.455475148707678,trigonal,R-3m,15,142.2543105975618,4.433842835352173,0.0,0.049955355583337635
mp-775284,Li2Mn3NiO8,"{'Li': 8.0, 'Mn': 12.0, 'Ni': 4.0, 'O': 32.0}",-1.8742529923342042,cubic,P2_13,56,570.2488963979376,4.255935474066321,1.5351000000000001,0.06102375749999922
mp-756364,Li3Mn(NiO3)2,"{'Li': 6.0, 'Mn': 2.0, 'Ni': 4.0, 'O': 12.0}",-1.7133852119262645,monoclinic,C2/m,24,214.20582727274189,4.482934202286846,0.0,0.02503646807017379
mp-755899,Li2Mn(NiO3)2,"{'Li': 4.0, 'Mn': 2.0, 'Ni': 4.0, 'O': 12.0}",-1.4858901033135,orthorhombic,Cmce,22,215.78600220992124,4.343279992628231,0.7635999999999998,0.05855551988636698
mp-762624,Li2Mn(NiO3)2,"{'Li': 2.0, 'Mn': 1.0, 'Ni': 2.0, 'O': 6.0}",-1.5354460937680463,monoclinic,C2,11,106.20421552062655,4.412343810898728,0.5514999999999999,0.04354091761363943
mp-758846,Li3Mn2Ni5O12,"{'Li': 3.0, 'Mn': 2.0, 'Ni': 5.0, 'O': 12.0}",-1.4467602902831975,monoclinic,C2,22,209.30481512070943,4.888353416464984,0.31830000000000025,0.061089282159096925
mp-771112,Li2Mn3NiO8,"{'Li': 8.0, 'Mn': 12.0, 'Ni': 4.0, 'O': 32.0}",-1.9352767498342038,cubic,P4_332,56,568.4549463023145,4.26936650479326,1.322,0.0
mp-758487,Li4Mn2Ni5O12,"{'Li': 8.0, 'Mn': 4.0, 'Ni': 10.0, 'O': 24.0}",-1.548456789473783,monoclinic,P2_1,46,423.04886538432464,4.891547026366288,0.0,0.04862678277174304
mp-1222526,Li5Mn2NiO8,"{'Li': 10.0, 'Mn': 4.0, 'Ni': 2.0, 'O': 16.0}",-1.9652362374727295,monoclinic,C2/m,32,277.3562963070104,3.966639799779931,0.8813999999999997,0.029882117187500334
mp-756351,Li3Mn4NiO8,"{'Li': 3.0, 'Mn': 4.0, 'Ni': 1.0, 'O': 8.0}",-1.9912666470287936,monoclinic,C2/m,16,154.15649848916502,4.6023891654691065,0.0,0.024403249062501686
mp-761013,Li8MnNi7O16,"{'Li': 8.0, 'Mn': 1.0, 'Ni': 7.0, 'O': 16.0}",-1.524029164185892,triclinic,P-1,32,279.78590046993355,4.613363384369773,0.08869999999999978,0.009993073906254146
mp-779228,Li4MnNi5O12,"{'Li': 4.0, 'Mn': 1.0, 'Ni': 5.0, 'O': 12.0}",-1.34086855510372,monoclinic,C2,22,214.27978785602366,4.4029114888238965,0.46419999999999995,0.06605792784091058
mp-762633,LiMn2NiO6,"{'Li': 1.0, 'Mn': 2.0, 'Ni': 1.0, 'O': 6.0}",-1.663450236539702,triclinic,P-1,10,106.13735085615494,4.247776998948189,0.6650999999999998,0.08017959656250007
mp-772976,Li8Mn15NiO32,"{'Li': 8.0, 'Mn': 15.0, 'Ni': 1.0, 'O': 32.0}",-2.0441885389743026,trigonal,R32,56,587.3179300955844,4.100393743769859,0.6765999999999996,0.0002280777232135378
mp-758714,Li2MnNi3O8,"{'Li': 2.0, 'Mn': 1.0, 'Ni': 3.0, 'O': 8.0}",-1.298627770996322,triclinic,P-1,14,138.1555331922042,4.481959135999571,0.0,0.09588731803571537
mp-760956,Li6Mn5Ni3O16,"{'Li': 6.0, 'Mn': 5.0, 'Ni': 3.0, 'O': 16.0}",-1.8371294524358623,monoclinic,Cm,30,275.8264246306062,4.505582713066392,0.2602000000000002,0.08029989774999358
mp-763752,Li3Mn2(NiO4)2,"{'Li': 3.0, 'Mn': 2.0, 'Ni': 2.0, 'O': 8.0}",-1.2965464320820226,triclinic,P-1,15,142.0913701151173,4.395040611182547,0.0,0.4947051972499965
mp-753186,Li4Mn3(NiO4)3,"{'Li': 4.0, 'Mn': 3.0, 'Ni': 3.0, 'O': 12.0}",-1.7158376974323708,triclinic,P-1,22,214.3171971060132,4.343949645536912,0.14880000000000004,0.03520984238636782
mp-758510,Li2Mn2NiO6,"{'Li': 6.0, 'Mn': 6.0, 'Ni': 3.0, 'O': 18.0}",-1.8189471320057886,triclinic,P-1,33,324.3163551906502,4.277060887837727,0.9001999999999999,0.06648528170454515
mp-758838,Li4Mn5(NiO6)2,"{'Li': 8.0, 'Mn': 10.0, 'Ni': 4.0, 'O': 24.0}",-1.9144314702061969,monoclinic,P2_1,46,447.11619107823657,4.544563533831106,0.6324000000000001,0.036982866956521754
mp-758709,Li3Mn5(NiO6)2,"{'Li': 9.0, 'Mn': 15.0, 'Ni': 6.0, 'O': 36.0}",-1.8156739065792067,triclinic,P1,66,650.8868122980876,4.629598332798277,0.4950000000000001,0.0990485937736647
mp-753219,Li3MnNi3O8,"{'Li': 3.0, 'Mn': 1.0, 'Ni': 3.0, 'O': 8.0}",-1.3366507007076782,monoclinic,C2/m,15,140.74653254731044,4.481341347638159,0.0,0.20224548691667188
mp-756366,LiMnNiO4,"{'Li': 2.0, 'Mn': 2.0, 'Ni': 2.0, 'O': 8.0}",-1.6302069960402628,orthorhombic,Imma,14,139.83127060839615,4.383651366580903,0.19600000000000017,0.008392856964288598
mp-774906,Li2MnNi3O8,"{'Li': 8.0, 'Mn': 4.0, 'Ni': 12.0, 'O': 32.0}",-1.3419867779606085,triclinic,P1,56,546.5200248292416,4.5320019472161945,0.5278999999999998,0.08040245232142951
mp-757424,LiMn3NiO8,"{'Li': 1.0, 'Mn': 3.0, 'Ni': 1.0, 'O': 8.0}",-1.4228099737317057,monoclinic,C2/m,13,146.14510943594587,4.072731735210017,0.11800000000000033,0.33853911831730343
mp-1177894,Li2MnNiO4,"{'Li': 2.0, 'Mn': 1.0, 'Ni': 1.0, 'O': 4.0}",-1.8265658848685637,tetragonal,I-4m2,8,70.81103244764475,4.490989057997671,0.0,0.07524699062499529
mp-863332,Li3Mn3NiO8,"{'Li': 3.0, 'Mn': 3.0, 'Ni': 1.0, 'O': 8.0}",-1.8779509581230343,monoclinic,C2/m,15,146.9813252453923,4.206394434366693,0.008199999999999985,0.21359983152082762
mp-753229,Li2Mn3NiO8,"{'Li': 2.0, 'Mn': 3.0, 'Ni': 1.0, 'O': 8.0}",-1.862824061084203,monoclinic,C2/m,14,144.227471724743,4.206796524622844,0.5386000000000002,0.07245268875000033
mp-754945,Li2MnNiO4,"{'Li': 2.0, 'Mn': 1.0, 'Ni': 1.0, 'O': 4.0}",-1.8630675536185635,monoclinic,P2/m,8,71.27587076915242,4.461700270739073,0.18409999999999993,0.038745321874995575
mp-1289129,Li2MnNiO4,"{'Li': 4.0, 'Mn': 2.0, 'Ni': 2.0, 'O': 8.0}",-1.8081559373685634,orthorhombic,C222,16,141.78163174276293,4.485934715222702,0.0,0.09365693812499565
mp-756831,Li3Mn2NiO6,"{'Li': 3.0, 'Mn': 2.0, 'Ni': 1.0, 'O': 6.0}",-1.9494532632275288,monoclinic,C2/m,12,110.71393683197088,4.280395174980013,0.0,0.042024480000004694
mp-764043,Li3Mn3NiO8,"{'Li': 6.0, 'Mn': 6.0, 'Ni': 2.0, 'O': 16.0}",-1.1706593027897005,monoclinic,Cc,30,280.03365370369175,4.4156223388939635,0.3706999999999998,0.8195079801874945
mp-771971,Li2Mn3NiO8,"{'Li': 4.0, 'Mn': 6.0, 'Ni': 2.0, 'O': 16.0}",-1.8881510457270605,hexagonal,P6_3mc,28,278.9252211683259,4.350525379278164,1.0324,0.047125704107142674
mp-754927,Li5Mn2Ni3O10,"{'Li': 5.0, 'Mn': 2.0, 'Ni': 3.0, 'O': 10.0}",-1.788835415353185,triclinic,P-1,20,177.67692213119437,4.492124677979343,0.18159999999999998,0.01494274284210828
mp-850209,Li5Mn(Ni2O5)2,"{'Li': 5.0, 'Mn': 1.0, 'Ni': 4.0, 'O': 10.0}",-1.533267154322425,triclinic,P-1,20,176.4734719043521,4.558094718821966,0.0,0.07444156927630985
mp-753964,Li4Mn5NiO12,"{'Li': 4.0, 'Mn': 5.0, 'Ni': 1.0, 'O': 12.0}",-1.9311357288519333,monoclinic,C2/m,22,233.48727229395428,3.9338816030701915,0.04530000000000012,0.09116042957386128
mp-756870,Li3Mn(NiO2)4,"{'Li': 3.0, 'Mn': 1.0, 'Ni': 4.0, 'O': 8.0}",-1.553433258163448,monoclinic,C2/m,16,143.8228962594476,5.063143341091687,0.0,0.00973062886512377
